Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
MFRAN1,Frambuesas al natural x 380 Grs.,MERMELADAS   MASSEUBE,1,"0,38","$3.867,05","$3.867,05"
MFRAN12,Frambuesas al natural x 380 Grs. CAJA x 12 u.,MERMELADAS   MASSEUBE,12,"4,56","$44.045,09","$3.670,42"
SMPS1,Sahumerio Palo Santo,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS2,Sahumerio palo santo c/Incienso,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS3,Sahumerio palo santo c/Copal,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS4,Sahumerio palo santo c/Mirra,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS5,Sahumerio palo santo C/Sandalo,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS6,Sahumerio palo santo c/Champa,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS7,Sahumerio palo santo c/Romero,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS8,Sahumerio palo santo c/Jazmin,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS9,Sahumerio palo santo c/Vainilla,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS10,Sahumerio palo santo c/Yagra,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS11,Sahumerio palo santo c/Rosa,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS12,Sahumerio palo santo c/Lavanda,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS13,Sahumerio palo santo c/ruda,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS14,Sahumerio palo santo c/pachuli,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS15,Sahumerio palo santo c/violetas,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMPS16,Sahumerio palo santo c/fresias,SAGRADA MADRE,8,"0,08","$649,70","$81,21"
SMN1,Sahumerio natural c/Incienso,SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN2,Sahumerio natural c/Mirra,SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN3,Sahumerio natural c/Copal,SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN4,Sahumerio natural c/Yagra,SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN5,"Sahumerio natural c/Ruda, Romero e Incienso",SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN6,"Sahumerio natural c/ Citronella, Naranja y Palo santo",SAGRADA MADRE,8,"0,08","$649,84","$81,23"
SMN7,Sahumerio natural c/Sandalo y Olíbano,SAGRADA MADRE,8,"0,08","$649,84","$81,23"
