Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
CGSGOM4U,"Granola Orgánica con Manzana ""Schatzi"" x 400 Grs.",CEREALESGRANOSYSEMILLAS,1,8,"$5.258,44","$38.016,58"
CGSGOM1U,"Granola Orgánica con Manzana ""Schatzi"" x 1,5 Kg.",CEREALESGRANOSYSEMILLAS,0,1,$-,"$12.273,13"
CGSGID4U,"Granola Integral Desayuno ""Schatzi"" x 400 Grs.",CEREALESGRANOSYSEMILLAS,1,8,"$5.824,24","$42.107,13"
CGSGID1U,"Granola Integral Desayuno ""Schatzi"" x 1,5 Kg.",CEREALESGRANOSYSEMILLAS,0,1,$-,"$14.762,00"
CGSGP4U,"Granola Potencia ""Schatzi"" x 400 Grs.",CEREALESGRANOSYSEMILLAS,1,8,"$6.261,21","$45.266,20"
CGSGP1U,"Granola Potencia ""Schatzi"" x 1,5 Kg.",CEREALESGRANOSYSEMILLAS,0,1,$-,"$16.555,58"
CGSPSTO2U,"Proteina de soja texturizada Orgánica ""Schatzi"" x 200 Grs.",CEREALESGRANOSYSEMILLAS,1,9,"$2.172,56","$17.670,11"
CGSPSTO1U,"Proteina de soja texturizada Orgánica ""Schatzi"" x 1 Kg.",CEREALESGRANOSYSEMILLAS,0,1,$-,"$6.796,42"
CGSGP4U,Copos de maiz SIN AZUCAR,CEREALESGRANOSYSEMILLAS,0,1,$-,"$5.152,00"
CGSGP4C,Copos de maiz CON AZUCAR,CEREALESGRANOSYSEMILLAS,0,1,$-,"$6.900,00"
CGSSCT1,Semilla de Chia TRADICIONAL,CEREALESGRANOSYSEMILLAS,1,25,"$1.950,00","$45.000,00"
CGSSGT1,Semilla de Girasol TRADICIONAL,CEREALESGRANOSYSEMILLAS,1,20,"$1.300,00","$24.000,00"
CGSSZAA1,Semillas de Zapallo - AA,CEREALESGRANOSYSEMILLAS,1,25,"$8.450,00","$195.000,00"
CGSPIO05U,"Polenta Inst. ""DEL CAMPO"" - Orgánica SIN TACC - u. x 500 Grs.",CEREALESGRANOSYSEMILLAS,1,20,"$585,00","$10.800,00"
CGSAI1,Avena instantanea,CEREALESGRANOSYSEMILLAS,1,30,"$1.196,00","$33.120,00"
CGSAAO05U,"Avena arrollada orgánica ""CAMPO CLARO"" x 500 Grs.",CEREALESGRANOSYSEMILLAS,1,10,"$878,86","$8.416,24"
CGSAAO4,"Avena arrollada orgánica ""CAMPO CLARO"" x 4 Kg.",CEREALESGRANOSYSEMILLAS,0,1,$-,"$6.526,48"
HCC11,"Harina Integral Pan ""CAMPO CLARO"" - x 1 Kg.",HARINAS,1,10,"$980,54","$9.396,88"
HCC5,"Harina Integral Pan ""CAMPO CLARO"" - x 5 Kg.",HARINAS,0,1,$-,"$4.320,32"
HCC25,"Harina Integral Pan ""CAMPO CLARO"" - x 25 Kg.",HARINAS,0,1,$-,"$20.620,88"
HMT31,"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 1 Kg",HARINAS,0,1,$-,"$882,00"
HMT35,"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 5 Kg",HARINAS,0,1,$-,"$4.104,00"
HMT325,"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 25 Kg",HARINAS,0,1,$-,"$18.780,00"
HMT41,"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 1 Kg",HARINAS,0,1,$-,"$990,00"
HMT45,"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 5 Kg",HARINAS,0,1,$-,"$4.608,00"
HMT425,"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 25 Kg",HARINAS,0,1,$-,"$21.042,00"
HMC1,"Harina Centeno Organica ""MAYAL"" - x 1 Kg",HARINAS,0,1,$-,"$1.188,00"
HMC5,"Harina Centeno Organica ""MAYAL"" - x 5 Kg",HARINAS,0,1,$-,"$5.526,00"
HMC20,"Harina Centeno Organica ""MAYAL"" - x 20 Kg",HARINAS,0,1,$-,"$20.196,00"
HME1,"Harina Espelta ""MAYAL"" x 1 kg.",HARINAS,0,1,$-,"$2.196,00"
HME5,"Harina Espelta ""MAYAL"" x 5 kg.",HARINAS,0,1,$-,"$10.212,00"
HMM1,"Harina de maiz ""MAYAL"" x 1 kg.",HARINAS,0,1,$-,"$924,00"
HMM5,"Harina de maiz ""MAYAL"" x 5 kg.",HARINAS,0,1,$-,"$4.302,00"
HA1,Harina de Almendra,HARINAS,1,10,"$3.250,00","$30.000,00"
HFM1,"Fécula de Mandioca ""ALDEMA""",HARINAS,1,10,"$1.822,50","$16.875,00"
HFM25,Fécula de Mandioca x 25 Kg.,HARINAS,0,1,$-,"$23.148,00"
HMP1,"Maca peruana "" Kallpa"" x 500 grs.",HARINAS,0,1,$-,"$1.200,00"
HMPR1,"Maca peruana "" Kallpa"" ROJA x 500 grs.",HARINAS,0,1,$-,"$1.800,00"
HMPN1,Maca peruana NEGRA x 150 grs.,HARINAS,0,1,$-,"$1.440,00"
HLEF25,"Harina integral ""LILEN"" PASTELERIA x 25 Kg",HARINAS,0,1,$-,"$10.500,00"
HLMSEF,"Harina integral de trigo 0000 ""LOMA BRAVA"" 25k",HARINAS,0,1,$-,"$21.600,00"
HLMC20,"Harina de centeno ""LOMA BRAVA"" 20 Kg.",HARINAS,0,1,$-,"$23.400,00"
HLMMM5,"Harina de maiz MORADO x 5Kg ""LOMA BRAVA""",HARINAS,0,1,$-,"$11.880,00"
HLMSB1,"Harina de SORGO BLANCO x 1 kg""LOMA BRAVA""",HARINAS,1,0,"$2.600,00",$-
FITCC1,"Fideos Int. Pan. Tallarin ""CAMPO CLARO"" x 500 Grs.",FIDEOS,1,12,"$869,82","$9.995,53"
FEFCC1,"Fideos Espinaca Fettuccine ""CAMPO CLARO"" x 500 Grs.",FIDEOS,1,12,"$906,95","$10.422,22"
FIGCC1,"Fideos Integral GARBANZO CODITOS ""CAMPO CLARO"" x 500 Grs.",FIDEOS,1,12,"$906,95","$10.422,22"
DAR1,Arándano rojo,DESHIDRATADOS,1,11,"$11.800,00","$128.142,00"
DAM1,Azucar Mascabo,DESHIDRATADOS,1,100,"$1.150,50","$106.200,00"
DAOS05,"Azucar Orgánico ""Schatzi"" x 500 Grs.",DESHIDRATADOS,1,16,"$2.516,80","$37.171,20"
DAOSU3,"Azucar Orgánico ""Schatzi"" x 3 Kg.",DESHIDRATADOS,0,1,$-,"$10.454,40"
DBGO1,Bayas de goyi,DESHIDRATADOS,0,0,$-,$-
DCB1,Chip de bananita,DESHIDRATADOS,1,"6,8","$7.670,00","$49.946,00"
DCPG1,Ciruela Presidente - grande,DESHIDRATADOS,1,5,"$5.900,00","$28.250,00"
DCPM1,Ciruela Presidente - mediana,DESHIDRATADOS,1,5,"$3.894,00","$18.645,00"
DCBSC1,Ciruela bombón sin carozo,DESHIDRATADOS,1,5,"$2.360,00","$11.300,00"
DCCC1,Ciruela con carozo,DESHIDRATADOS,1,10,"$2.301,00","$22.035,00"
DCHF1,Coco rallado,DESHIDRATADOS,1,25,"$4.366,00","$104.525,00"
DCEHF1,Coco en escamas,DESHIDRATADOS,1,10,$-,$-
DDT1,Damasco turco,DESHIDRATADOS,1,5,$-,$-
DDI1,Datil EGIPTO,DESHIDRATADOS,1,5,$-,$-
DDA1,Datil Argelia,DESHIDRATADOS,1,5,"$8.260,00","$39.550,00"
DDM1,Datil Medjoul ISRAEL,DESHIDRATADOS,1,5,"$17.700,00","$84.750,00"
DDMM1,Datil Medjoul MEXICO,DESHIDRATADOS,1,5,$-,$-
DDUM1,Durazno en mitades,DESHIDRATADOS,1,5,"$4.802,60","$22.995,50"
DHN1,Higo Negro,DESHIDRATADOS,1,5,"$4.413,20","$21.131,00"
DHTC1,Higo Turco Suer,DESHIDRATADOS,1,0,$-,$-
DHTL1,Higo turco Lerida,DESHIDRATADOS,1,0,$-,$-
DHC1,Hongo chileno,DESHIDRATADOS,1,15,"$19.470,00","$279.675,00"
DMFO1,Maiz frito - ORIGINAL,DESHIDRATADOS,1,20,$-,$-
DMFB1,Maiz frito - BARBACOA,DESHIDRATADOS,1,20,$-,$-
DMFMM1,Maiz frito - MOSTAZA Y MIEL,DESHIDRATADOS,1,20,"$5.900,00","$113.000,00"
DPJ1,Pasas Jumbo,DESHIDRATADOS,1,10,"$2.242,00","$21.470,00"
DPF1,Pasas Flame,DESHIDRATADOS,1,10,"$1.770,00","$16.950,00"
DPR1,Pasas rubias sin semillas,DESHIDRATADOS,1,10,"$5.428,00","$51.980,00"
DPRE1,Pasas rubias economicas,DESHIDRATADOS,1,10,$-,$-
DPD1,Pera disecada,DESHIDRATADOS,1,5,"$2.950,00","$14.125,00"
DTD1,Tomate deshidratado,DESHIDRATADOS,1,5,"$7.552,00","$36.160,00"
FSAN1,Almendra nompareil,FRUTOSSECOS,1,10,"$13.260,00","$122.400,00"
FSAR1,Almendra ramillada,FRUTOSSECOS,1,10,"$9.100,00","$84.000,00"
FSAE1,Almendra económica,FRUTOSSECOS,1,10,"$11.440,00","$105.600,00"
FSAM1,Avellana - Mediana,FRUTOSSECOS,1,10,$-,$-
FSAG1,Avellana - Grande,FRUTOSSECOS,1,10,"$13.650,00","$126.000,00"
FSCNV1,Castaña de caju VIETNAM - NATURAL,FRUTOSSECOS,1,20,"$12.220,00","$225.600,00"
FSCN1,Castaña de caju BRASIL - NATURAL,FRUTOSSECOS,1,23,"$12.740,00","$266.716,80"
FSCT1,Castaña de caju BRASIL -TOSTADA,FRUTOSSECOS,1,23,"$13.000,00","$272.160,00"
FSCTS1,Castaña de caju BRASIL - SALADA,FRUTOSSECOS,1,23,"$13.130,00","$274.881,60"
FSCPP1,Castaña de pará,FRUTOSSECOS,1,20,"$12.610,00","$232.800,00"
FSMC1,Mani con cáscara,FRUTOSSECOS,1,20,"$2.730,00","$50.400,00"
FSMTS1,Mani tostado - SALADO,FRUTOSSECOS,1,25,"$2.795,00","$64.500,00"
FSMT1,Mani tostado - SIN SAL,FRUTOSSECOS,1,25,"$2.795,00","$64.500,00"
FSNC1,Nuez con cáscara,FRUTOSSECOS,1,10,"$3.900,00","$36.000,00"
FSNE1,Nuez mariposa extra light,FRUTOSSECOS,1,10,"$8.190,00","$75.600,00"
FSNL1,Nuez mariposa light,FRUTOSSECOS,1,10,"$7.150,00","$66.000,00"
FSNEC1,Nuez cuartos extra light,FRUTOSSECOS,1,10,"$7.345,00","$67.800,00"
FSNP1,Nuez pecan,FRUTOSSECOS,1,10,"$9.360,00","$86.400,00"
FSPTS1,Pistacho tostado y salado,FRUTOSSECOS,1,10,"$14.950,00","$138.000,00"
MMC1,"Mix clásico (pasa rubias y negras, caju, nuez, almendra)",FRUTOSSECOS,1,10,"$7.182,50","$66.300,00"
MMCM1,"Mix clásico (c/ mani) (pasa rubias y negras, caju, nuez, almendra,mani)",FRUTOSSECOS,1,12,"$6.451,25","$71.460,00"
MMS1,"Mix seco (avellanas, nuez, caju, almendra)",FRUTOSSECOS,1,10,"$10.705,50","$98.820,00"
MMSM1,"Mix seco (c/ mani) (avellanas, nuez, caju,almendra,mani)",FRUTOSSECOS,1,12,"$9.387,08","$103.980,00"
MMT1,"Mix tropical (pasa rubias y negras, caju, nuez, almendra, bananita)",FRUTOSSECOS,1,12,"$5.967,00","$66.096,00"
MMEC1,"Mix economico(mani,pasas rubias y negras, caju, nuez, almendra)",FRUTOSSECOS,6,12,"$20.908,13","$47.790,00"
MMECC1,"Mix CARLA(mani,pasas rubias y negras,nuez,almendra)",FRUTOSSECOS,5,10,"$17.034,20","$38.568,00"
MMST5,"Mix de Semillas(Sesamo,girasol,lino marron)",FRUTOSSECOS,0,5,$-,"$30.000,00"
AACS32501,"Aceite de coco virgen ""SITARAM"" X 250 cc.",ACEITES,1,20,"$2.054,00","$37.920,00"
AACS3601,"Aceite de coco virgen ""SITARAM"" X 360 cc.",ACEITES,1,20,"$2.275,00","$42.000,00"
AACS6601,"Aceite de coco virgen ""SITARAM"" X 660 cc.",ACEITES,1,12,"$2.977,00","$32.976,00"
AACV2501,"Aceite de coco ""VALLE ORGÁNICO"" x Bot. 250 Cc.",ACEITES,1,20,"$4.002,70","$73.896,00"
AACV3601,"Aceite de coco ""VALLE ORGÁNICO"" x Frasco 360 Cc.",ACEITES,1,20,"$5.275,40","$97.392,00"
AAOSNP11,"Aceite de Oliva ""SAN NICOLAS"" x Pet 250 Cc.",ACEITES,1,20,"$3.042,25","$56.164,56"
AAOSNP21,"Aceite de Oliva ""SAN NICOLAS"" x Pet 500 Cc.",ACEITES,1,20,"$5.537,61","$102.232,80"
AAOSNP31,"Aceite de Oliva ""SAN NICOLAS"" x Pet 1 Lt.",ACEITES,1,12,"$10.095,41","$111.826,08"
AAOSNP41,"Aceite de Oliva ""SAN NICOLAS"" x Pet 2 Lts.",ACEITES,1,6,"$19.339,26","$107.109,72"
AAOSNP51,"Aceite OLIVA ""SAN NICOLAS"" x Pet 5 Lts.",ACEITES,1,2,"$47.320,91","$87.361,68"
AAOSNV11,"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 250 Cc.",ACEITES,1,20,"$3.391,61","$62.614,32"
AAOSNV21,"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 500 Cc.",ACEITES,1,20,"$5.778,94","$106.688,04"
AAOSNV31,"Aceite de Oliva ""SAN NICOLÁS"" x Vidrio 1 Lt.",ACEITES,1,12,"$12.012,33","$133.059,60"
AGALCC11,"Aceite GIRASOL Alto Ol. ""CAMPO CLARO"" Vidrio x 500 Cc.",ACEITES,1,10,"$1.778,71","$16.418,88"
AGALCC21,"Aceite GIRASOL Alto Ol. ""CAMPO CLARO"" Vidrio x 1 Lt.",ACEITES,1,6,"$3.234,05","$17.911,68"
ALCC11,"Aceite LINO "" CAMPO CLARO"" x 250 Cc.",ACEITES,1,10,"$1.685,53","$15.558,72"
CVEAA1,"Veggianito ""ESENIA"" - Albahaca y Ajo",CONSERVAS,1,0,"$910,00",$-
CVEAC1,"Veggianito ""ESENIA"" - Ajo y Cebolla",CONSERVAS,1,0,"$910,00",$-
CVEAN1,"Veggianito ""ESENIA"" - Algas Nori",CONSERVAS,1,0,"$910,00",$-
CVECU1,"Veggianito ""ESENIA"" - Cúrcuma",CONSERVAS,1,0,"$910,00",$-
CVEPC1,"Veggianito ""ESENIA"" - Pimienta de Cayena",CONSERVAS,1,0,"$910,00",$-
CMCC11,"Miel organica ""CAMPO CLARO"" x 500 gr.",CONSERVAS,1,12,$-,$-
CMSN11,"Miel ""SAN NICOLAS"" Orgánica x 500 gr.",CONSERVAS,1,12,$-,$-
CMSN21,"Miel ""SAN NICOLAS"" Orgánica x 1 Kg.",CONSERVAS,1,6,$-,$-
CAN11,"Aceitunas NEGRAS Orgánicas ""SAN NICOLÁS"" X 250 grs.",CONSERVAS,1,12,"$1.461,12","$16.184,76"
CAV11,"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 250 grs.",CONSERVAS,1,12,"$1.371,13","$15.187,92"
CAV21,"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 500 grs.",CONSERVAS,1,6,"$2.174,49","$12.043,32"
CAV31,"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 1 Kg.",CONSERVAS,1,2,"$3.864,77","$7.134,96"
CTTSN21,"Tomate triturado Orgánico ""SAN NICOLÁS"" x Bot 1 Lt.",CONSERVAS,1,10,"$2.966,54","$27.383,40"
CSRF1,Sal Rosada FINA del himalaya,CONSERVAS,1,25,"$1.430,00","$33.000,00"
CSRG1,Sal Rosada GRUESA del himalaya,CONSERVAS,1,25,"$1.690,00","$39.000,00"
YYTO1,Yerba Taihang orgánica x u. 500 Gr.,YERBAS,1,10,"$1.685,71","$16.428,57"
YYA1,Yerba Ajedrez x u. 500 Gr.,YERBAS,1,10,"$1.067,62","$10.404,76"
YYIO1,Yerba IVU orgánica x u. 500 Gr.,YERBAS,1,10,"$1.430,00","$13.200,00"
YYLO1,Yerba Legado orgánica x u. 500 Gr.,YERBAS,1,12,"$1.317,60","$15.163,20"
CALC1,"Almendras con chocolate ""COLONIAL""",CHOCOLATES-DULCES,1,10,"$12.987,00","$119.880,00"
CAVC1,"Avellana con Chocolate ""COLONIAL""",CHOCOLATES-DULCES,1,10,"$3.737,50","$34.500,00"
CMC1,"Mani con chocolate ""COLONIAL""",CHOCOLATES-DULCES,1,10,"$6.799,00","$62.760,00"
CPC1,"Pasas con chocolate ""COLONIAL""",CHOCOLATES-DULCES,1,10,"$8.255,00","$76.200,00"
CCTC1,"Chocolate p/ Taza ""COLONIAL""",CHOCOLATES-DULCES,1,6,"$12.311,00","$68.184,00"
CCSAC1,"Chocolate s/ azucar ""COLONIAL""",CHOCOLATES-DULCES,1,6,"$19.604,00","$108.576,00"
CCCS1,"Chocolate c/ stevia ""COLONIAL""",CHOCOLATES-DULCES,1,6,"$20.852,00","$115.488,00"
CC70O11,Chocolate 70% Organico,CHOCOLATES-DULCES,1,6,"$19.734,00","$109.296,00"
CC80O1,Chocolate 80% Organico,CHOCOLATES-DULCES,1,6,"$19.500,00","$108.000,00"
CC70O21,Chocolatinas %70 Organico 50u*16gr,CHOCOLATES-DULCES,1,10,"$12.311,00","$113.640,00"
CA1001001,"Almendras con chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,6,"$16.113,95","$89.246,51"
CA1011001,"Avellana con Chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,5,"$15.246,48","$70.368,35"
CA1111001,"Mani con chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,6,"$7.908,27","$43.799,67"
CA1021001,"Pasas con chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,6,"$10.156,63","$56.252,08"
CA1032001,"Cramberry con chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,6,"$13.633,51","$75.508,65"
CA1081001,"Bananita de cereal - Chocolate con leche ""ARGENFRUT"" x 600g",CHOCOLATES-DULCES,1,9,"$9.032,12","$75.036,06"
CA1141001,"Botones de chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,6,"$20.606,30","$114.127,20"
CA1061001,"Cereal con chocolate ""ARGENFRUT"" x 700 Grs.",CHOCOLATES-DULCES,1,9,"$8.504,22","$70.650,44"
CA1171001,"Lentejas de chocolate ""ARGENFRUT""",CHOCOLATES-DULCES,1,10,"$9.821,54","$90.660,41"
CA1071001,"Merenguitos con chocolate ""ARGENFRUT"" x 700 gr. U.",CHOCOLATES-DULCES,1,9,"$8.943,06","$74.296,15"
CA99551,Chocolate AGUILA al 60%,CHOCOLATES-DULCES,1,5,"$11.410,70","$52.664,77"
CA99851,Chocolate AGUILA,CHOCOLATES-DULCES,1,5,"$9.742,71","$44.966,33"
CA99791,Chocolate Aguila Blanco,CHOCOLATES-DULCES,1,5,"$10.107,31","$46.649,13"
CA96411,Chips chocolate,CHOCOLATES-DULCES,1,10,"$6.653,49","$61.416,84"
CA93231,Chips chocolate Blanco,CHOCOLATES-DULCES,1,5,"$6.842,55","$31.581,00"
CCABC1,"Cacao amargo ""BARRY CALLEBAUT""",CHOCOLATES-DULCES,1,25,"$8.651,50","$199.650,00"
CA1115001,"Garrapiñada de mani ""ARGENFRUT""",CHOCOLATES-DULCES,1,5,"$5.043,07","$23.275,71"
CA1006001,"Garrapiñada de almendra ""ARGENFRUT""",CHOCOLATES-DULCES,1,5,"$10.088,03","$46.560,12"
CWGMSM5,Garrapiñada de mani sin marca,CHOCOLATES-DULCES,0,5,$-,"$14.520,00"
DBHN,Bocaditos de higo y nuez - Caja x 40 U.,CHOCOLATES-DULCES,0,1,$-,"$5.748,00"
DBNR,Bombón de Nuez relleno - BOLSA x 30 U.,CHOCOLATES-DULCES,0,1,$-,"$3.960,00"
MLADAR1,Mermelada LIGHT APTO DIABÉTICO Arándano x 260 Grs.,MERMELADAS,1,12,"$3.387,53","$39.616,90"
MLADFRA1,Mermelada LIGHT APTO DIABÉTICO Frambuesa x 260 Grs.,MERMELADAS,1,12,"$4.752,72","$55.582,61"
MLADFRU1,Mermelada LIGHT APTO DIABÉTICO Frutilla x 260 Grs.,MERMELADAS,1,12,"$3.387,53","$39.616,90"
MLADFDB1,Mermelada LIGHT APTO DIABÉTICO Frutos del bosque x 260 Grs.,MERMELADAS,1,12,"$4.382,08","$51.248,08"
MLADRM1,Mermelada LIGHT APTO DIABÉTICO Mosqueta x 260 Grs.,MERMELADAS,1,12,"$3.387,53","$39.616,90"
MLADZAR1,Mermelada LIGHT APTO DIABÉTICO Zarzamora x 260 Grs.,MERMELADAS,1,12,"$4.752,72","$55.582,61"
M35AR1,Mermelada Arándano x 350 Grs.,MERMELADAS,1,12,"$2.840,87","$33.223,76"
M35CAL1,Mermelada Calafate x 350 Grs.,MERMELADAS,1,12,"$3.594,85","$42.041,49"
M35CAS1,Mermelada Cassis Orgánico x 350 Grs.,MERMELADAS,1,12,"$3.594,85","$42.041,49"
M35CER1,Mermelada Cereza Negra x 350 Grs.,MERMELADAS,1,12,"$2.840,87","$33.223,76"
M35FRA1,Mermelada Frambuesa Orgánica x 350 Grs.,MERMELADAS,1,12,"$4.320,47","$50.527,56"
M35FRU1,Mermelada Frutilla Orgánica x 350 Grs.,MERMELADAS,1,12,"$2.840,87","$33.223,76"
M35FDB1,Mermelada Frutos del bosque Orgánica x 350 Grs.,MERMELADAS,1,12,"$3.594,85","$42.041,49"
M35GUI1,Mermelada Guinda x 350 Grs.,MERMELADAS,1,12,"$3.594,85","$42.041,49"
M35RM1,Mermelada Mosqueta Orgánica x 350 Grs.,MERMELADAS,1,12,"$2.840,87","$33.223,76"
M35SAU1,Mermelada Sauco x 350 Grs.,MERMELADAS,1,12,"$3.594,85","$42.041,49"
M35ZAR1,Mermelada Zarzamora Orgánica x 350 Grs.,MERMELADAS,1,12,"$4.320,47","$50.527,56"
MARN1,Arandanos al natural x 380 Grs.,MERMELADAS,1,12,"$4.243,41","$49.626,35"
MCNN1,Cerezas negras al natural x 380 Grs.,MERMELADAS,1,12,"$4.243,41","$49.626,35"
MFDBN1,Frutos del bosque al natural x 380 Grs.,MERMELADAS,1,12,"$5.143,62","$60.154,26"
MFRAN1,Frambuesas al natural x 380 Grs.,MERMELADAS,1,12,"$6.536,19","$76.440,19"
SMPS1,Sahumerio Palo Santo,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS2,Sahumerio palo santo c/Incienso,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS3,Sahumerio palo santo c/Copal,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS4,Sahumerio palo santo c/Mirra,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS5,Sahumerio palo santo C/Sandalo,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS6,Sahumerio palo santo c/Champa,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS7,Sahumerio palo santo c/Romero,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS8,Sahumerio palo santo c/Jazmin,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS9,Sahumerio palo santo c/Vainilla,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS10,Sahumerio palo santo c/Yagra,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS11,Sahumerio palo santo c/Rosa,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS12,Sahumerio palo santo c/Lavanda,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS13,Sahumerio palo santo c/ruda,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS14,Sahumerio palo santo c/pachuli,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS15,Sahumerio palo santo c/violetas,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMPS16,Sahumerio palo santo c/fresias,SAGRADA MADRE,0,1,$-,"$1.019,57"
SMN1,Sahumerio natural c/Incienso,SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN2,Sahumerio natural c/Mirra,SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN3,Sahumerio natural c/Copal,SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN4,Sahumerio natural c/Yagra,SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN5,"Sahumerio natural c/Ruda, Romero e Incienso",SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN6,"Sahumerio natural c/ Citronella, Naranja y Palo santo",SAGRADA MADRE,0,1,$-,"$1.158,43"
SMN7,Sahumerio natural c/Sandalo y Olíbano,SAGRADA MADRE,0,1,$-,"$1.158,43"
SMH1,Sahumerio hierbas Lavanda y Olíbano,SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH2,Sahumerio hierbas Incienso blanco,SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH3,Sahumerio hierbas Salvia blanca,SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH4,Sahumerio hierbas Rosas y Olíbano,SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH5,"Sahumerio hierbas Canela, Anis y Olíbano",SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH6,"Sahumerio hierbas Calendula, Manzanilla e Incienso",SAGRADA MADRE,0,1,$-,"$1.074,84"
SMH7,"Sahumerio hierbas Eucalipto, Laurel y Cedro",SAGRADA MADRE,0,1,$-,"$1.074,84"
SMT1,Sahumerio triple 7 Chakras,SAGRADA MADRE,0,1,$-,"$1.355,88"
SMT2,Sahumerio triple combinado,SAGRADA MADRE,0,1,$-,"$1.581,97"
SMBAX41,Bomba activada 7 Poderes,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX42,Bomba activada Atrae dinero,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX43,Bomba activada Abre caminos,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX44,Bomba activada Palo santo,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX45,Bomba activada Destrabe,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX46,Bomba activada Limpieza energetica,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX47,Bomba activada Defumacion completa,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX48,Bomba activada 7 Hierbas copal,SAGRADA MADRE,0,1,$-,"$400,67"
SMBAX81,Bomba activada 7 Elementos puros.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX82,Bomba activada Yagra y Canela.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX83,Bomba activada Incienso y Mirra.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX84,Bomba activada Palo santo.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX85,Bomba activada Benjui y almizcle.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX86,Bomba activada Limpieza energetica.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX87,Bomba activada Estoraque y Alcanfor.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBAX88,Bomba activada 7 Hierbas copal.,SAGRADA MADRE,0,1,$-,"$872,48"
SMBA7C,Bomba activada 7 chakras,SAGRADA MADRE,0,1,$-,"$848,59"
SMBAH1,Bomba Herbal Armonia,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH2,Bomba Herbal Renacer,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH3,Bomba Herbal Destrabar,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH4,Bomba Herbal Fortuna,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH5,Bomba Herbal Amor,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH6,Bomba Herbal Purificar,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH7,Bomba Herbal Limpiar,SAGRADA MADRE,0,1,$-,"$518,73"
SMBAH8,Bomba Herbal 7 Poderes,SAGRADA MADRE,0,1,$-,"$518,73"
